;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_mean;20.192611666666664;20.428229999999996
max_mean;30.50745;26.254158333333333
min_median;20.169150000000002;20.30585
max_median;30.5636;26.6296
min_rms;20.193236796903893;20.434715968232428
max_rms;30.51158029419322;26.25476064506207
min_midh;20.178224999999998;20.497999999999998
max_midh;30.555825;26.41365
min_iqm;20.17761;20.393526666666666
max_iqm;30.554726666666667;26.56013333333333
min_std;0.0890426876403798;0.05658631781525372
max_std;2.0008514476175723;1.5893834604825716
min_mad;0.0894007799999997;0.06301050000000064
max_mad;2.4494034600000036;1.9909835400000029
min_ppv;0.37480000000000047;0.245000000000001
max_ppv;7.127500000000001;7.002500000000001
min_iqr;0.12137500000000045;0.08332500000000209
max_iqr;3.42765;2.669724999999996
min_qcd;0.0025100700079464106;0.0018789797247207793
max_qcd;0.08071595501386598;0.059361750974038695
min_kv;-1.7166112553352868;-1.69197684230512
max_kv;6.550324446944186;8.866291017963466
min_sv;-2.043458745386015;-2.744987626484774
max_sv;2.7034835072885266;2.7265555754559943
min_min;18.4267;18.7125
max_min;29.3767;25.7875
min_max;20.565;21.2525
max_max;31.7525;28.3583
min_cf;1.0082075456988657;1.0057184550672364
max_cf;1.211699164697902;1.1384033311373776
min_meander;-0.0926271186440678;-0.06776949152542373
max_meander;0.09704745762711864;0.057218644067796635
min_rmsder;0.0747028894683148;0.0588082390745627
max_rmsder;0.7549565521228491;0.7399970896644557
min_stdder;0.07516845562611799;0.05931292950174013
max_stdder;0.7551196526232828;0.7461860849103604
min_kvder;-0.7773630336670143;-0.8393680206301655
max_kvder;37.37147019557309;36.0514705060994
min_svder;-5.762220760133892;-3.5894982695931033
max_svder;4.373993747738645;5.276762665047673
