;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_dam;-0.1006915254237288;-0.06776949152542373
max_dam;0.15450508474576266;0.08059322033898303
min_drms;0.0747028894683148;0.0588082390745627
max_drms;0.7549565521228491;0.7399970896644557
min_dmva;0.05853898305084754;0.050028813559322496
max_dmva;0.35027457627118647;0.49590508474576256
min_dsra;0.050073662054336374;0.04458638924523618
max_dsra;0.28987000100918725;0.40034216579558934
min_dmidr;-1.7078000000000007;-0.5500000000000007
max_dmidr;0.7985999999999986;1.3283000000000005
min_dmedian;-0.0840999999999994;-0.04829999999999757
max_dmedian;0.1191999999999993;0.08659999999999712
min_dmidh;-0.09207499999999946;-0.0714750000000004
max_dmidh;0.12857500000000055;0.16337500000000116
min_diqm;-0.09711999999999996;-0.06091333333333324
max_diqm;0.1113833333333331;0.06352666666666676
min_dtrimean;-0.08808749999999943;-0.048237500000001265
max_dtrimean;0.11428750000000099;0.0805374999999997
min_dtmean;-0.10038958333333332;-0.053087499999999954
max_dtmean;0.1305208333333332;0.07377291666666674
min_dstd;0.0745287124548527;0.05880812943234382
max_dstd;0.7486929855163147;0.7398354495495785
min_dvar;0.005554528980178115;0.0034583960873313035
max_dvar;0.5605411865613326;0.5473564924102269
min_dppv;0.32250000000000156;0.24920000000000186
max_dppv;6.537499999999998;6.423300000000001
min_dcv;0.07516845562611799;0.05931292950174013
max_dcv;0.7551196526232828;0.7461860849103604
min_diod;0.005650296721215669;0.003518023606078395
max_diod;0.5702056897779073;0.5567936733138515
min_dmad;0.07042350000000443;0.05693184000000426
max_dmad;0.48673757999999806;0.6041594999999983
min_diqr;0.09665000000000212;0.08000000000000007
max_diqr;0.6270500000000006;0.8120999999999992
min_didr;0.17465999999999865;0.14410000000000095
max_didr;1.173260000000001;1.6524999999999976
min_dipr;0.2173500000000017;0.18376000000000442
max_dipr;1.7519300000000007;2.189309999999998
min_dqcd;-0.887683779223898;-0.6424220709423074
max_dqcd;0.8570029382957912;0.5032730073161373
min_dsv;-5.762220760133892;-3.5894982695931033
max_dsv;4.373993747738645;5.276762665047673
min_dkv;-0.7773630336670143;-0.7684202065213124
max_dkv;37.37147019557309;36.0514705060994
min_dminv;-3.732199999999999;-2.5283000000000015
max_dminv;-0.14589999999999748;-0.11580000000000013
min_dmaxv;0.14000000000000057;0.11500000000000199
max_dmaxv;3.352499999999999;3.8958000000000013
min_dcf;0.8715000000000117;0.6709999999999994
max_dcf;7.04169588204749;6.9611676012801125
min_dsvbq;-5.762220760133892;-3.5894982695931033
max_dsvbq;4.373993747738645;5.276762665047673
min_dkvbo;-0.7562224264705988;-0.7865045562599335
max_dkvbo;0.6000339838492481;0.6465119945212663
min_ddecile1;-0.6912600000000011;-0.9194999999999985
max_ddecile1;-0.08101999999999875;-0.07012000000000142
min_ddecile9;0.0832000000000008;0.07397999999999955
max_ddecile9;0.5376599999999998;0.7567200000000007
min_dcvq;-735.6250000000764;-310.8686440678195
max_dcvq;102.98130841121566;221.85441941077346
