;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_amean;20.192611666666664;19.958165
max_amean;31.280829999999995;26.254158333333333
min_rms;20.193236796903893;19.968361187250697
max_rms;31.301072956268875;26.25476064506207
min_mva;20.192611666666664;19.958165
max_mva;31.280829999999995;26.254158333333333
min_sra;20.192299440669487;19.953013198711073
max_sra;31.27086113206086;26.25385649722444
min_midr;20.2129;19.7521
max_midr;31.653299999999998;26.167900000000003
min_median;20.169150000000002;20.23
max_median;30.9996;26.6296
min_midh;20.178224999999998;19.935187499999998
max_midh;31.075312500000003;26.41365
min_iqm;20.17761;20.10780333333333
max_iqm;31.052353333333333;26.56013333333333
min_trimean;20.1736875;20.08259375
max_trimean;31.03745625;26.521625
min_tmean;20.187829166666667;20.007372916666668
max_tmean;31.155812499999996;26.442264583333337
min_std;0.0890426876403798;0.05658631781525372
max_std;2.388816231069737;1.5893834604825716
min_var;0.007928600222222245;0.0032020113638889006
max_var;5.706442985822222;2.5261397844555544
min_ppv;0.37480000000000047;0.245000000000001
max_ppv;7.127500000000001;7.002500000000001
min_cv;0.0037127661664611866;0.0025733622036949537
max_cv;0.1057799772379599;0.06987172934377607
min_iod;0.00033338455601019;0.00014684594951366525
max_iod;0.25482136035860803;0.11199014346257269
min_mad;0.0894007799999997;0.06301050000000064
max_mad;2.4494034600000036;1.695130709999997
min_iqr;0.12137500000000045;0.08332500000000209
max_iqr;4.444800000000001;2.357325000000003
min_idr;0.22973000000000354;0.1409199999999977
max_idr;5.698999999999998;3.9247200000000007
min_ipr;0.2774150000000013;0.19129999999999825
max_ipr;6.311614999999996;4.329374999999995
min_qcd;0.0025100700079464106;0.0018789797247207793
max_qcd;0.09564149930444307;0.05304610130904944
min_sv;-2.043458745386015;-2.744987626484774
max_sv;2.7034835072885266;2.7265555754559943
min_kv;-1.7166112553352868;-1.69197684230512
max_kv;6.550324446944186;8.866291017963466
min_minv;19.2092;18.525
max_minv;29.4058;25.7875
min_maxv;20.565;20.9792
max_maxv;33.9008;28.3583
min_cf;1.0082075456988657;1.0057184550672364
max_cf;1.211699164697902;1.1384033311373776
min_svbq;-0.5804821974165856;-0.815980629539947
max_svbq;0.8398015658747305;0.8479646359520163
min_kvbo;-0.8962772682639444;-0.9974451332399278
max_kvbo;5.227560116963165;1.2410228971208292
min_decile1;19.99897;19.03533
max_decile1;30.225920000000002;26.00935
min_decile9;20.43528;20.57872
max_decile9;33.49983;27.348830000000003
min_cvq;0.00502000903567162;0.0037579963125860105
max_cvq;0.20229005375377576;0.10885825557688014
min_dam;-0.1006915254237288;-0.06776949152542373
max_dam;0.09704745762711864;0.057218644067796635
min_drms;0.0747028894683148;0.0588082390745627
max_drms;0.7549565521228491;0.7399970896644557
min_dmva;0.05853898305084754;0.050028813559322496
max_dmva;0.4118457627118642;0.49590508474576256
min_dsra;0.050073662054336374;0.04458638924523618
max_dsra;0.345476022261847;0.40034216579558934
min_dmidr;-1.15625;-0.5500000000000007
max_dmidr;0.7985999999999986;0.6841500000000007
min_dmedian;-0.0840999999999994;-0.04829999999999757
max_dmedian;0.1191999999999993;0.08659999999999712
min_dmidh;-0.09207499999999946;-0.0714750000000004
max_dmidh;0.08750000000000036;0.16337500000000116
min_diqm;-0.09711999999999996;-0.06091333333333324
max_diqm;0.09166333333333299;0.06352666666666676
min_dtrimean;-0.08808749999999943;-0.048237500000001265
max_dtrimean;0.10116250000000004;0.0805374999999997
min_dtmean;-0.10038958333333332;-0.053087499999999954
max_dtmean;0.08277708333333322;0.07377291666666674
min_dstd;0.0745287124548527;0.05880812943234382
max_dstd;0.7486929855163147;0.7398354495495785
min_dvar;0.005554528980178115;0.0034583960873313035
max_dvar;0.5605411865613326;0.5473564924102269
min_dppv;0.32250000000000156;0.24920000000000186
max_dppv;6.537499999999998;6.423300000000001
min_dcv;0.07516845562611799;0.05931292950174013
max_dcv;0.7551196526232828;0.7461860849103604
min_diod;0.005650296721215669;0.003518023606078395
max_diod;0.5702056897779073;0.5567936733138515
min_dmad;0.07042350000000443;0.05693184000000426
max_dmad;0.5682805799999976;0.606531659999998
min_diqr;0.09665000000000212;0.08000000000000007
max_diqr;0.6879000000000008;0.8120999999999992
min_didr;0.17465999999999865;0.14410000000000095
max_didr;1.3155399999999964;1.6524999999999976
min_dipr;0.2173500000000017;0.18376000000000442
max_dipr;1.7519300000000007;2.189309999999998
min_dqcd;-0.887683779223898;-0.6424220709423074
max_dqcd;0.8570029382957912;0.5032730073161373
min_dsv;-5.762220760133892;-3.5894982695931033
max_dsv;4.373993747738645;5.276762665047673
min_dkv;-0.7773630336670143;-0.8393680206301655
max_dkv;37.37147019557309;36.0514705060994
min_dminv;-3.1849999999999987;-2.5283000000000015
max_dminv;-0.14589999999999748;-0.11580000000000013
min_dmaxv;0.14000000000000057;0.11500000000000199
max_dmaxv;3.352499999999999;3.8958000000000013
min_dcf;0.8715000000000117;0.6709999999999994
max_dcf;7.04169588204749;6.9611676012801125
min_dsvbq;-5.762220760133892;-3.5894982695931033
max_dsvbq;4.373993747738645;5.276762665047673
min_dkvbo;-0.7562224264705988;-0.7865045562599335
max_dkvbo;0.6000339838492481;0.6465119945212663
min_ddecile1;-0.6912600000000011;-0.9194999999999985
max_ddecile1;-0.08101999999999875;-0.07012000000000142
min_ddecile9;0.0832000000000008;0.07397999999999955
max_ddecile9;0.6476799999999976;0.7567200000000007
min_dcvq;-735.6250000000764;-310.8686440678195
max_dcvq;102.98130841121566;221.85441941077346
