;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_amean;20.192611666666664;20.428229999999996
max_amean;30.50745;26.254158333333333
min_rms;20.193236796903893;20.434715968232428
max_rms;30.51158029419322;26.25476064506207
min_mva;20.192611666666664;20.428229999999996
max_mva;30.50745;26.254158333333333
min_sra;20.192299440669487;20.424989061009796
max_sra;30.505357377764092;26.25385649722444
min_midr;20.2129;20.37375
max_midr;30.14065;26.167900000000003
min_median;20.169150000000002;20.30585
max_median;30.5636;26.6296
min_midh;20.178224999999998;20.497999999999998
max_midh;30.555825;26.41365
min_iqm;20.17761;20.393526666666666
max_iqm;30.554726666666667;26.56013333333333
min_trimean;20.1736875;20.401925
max_trimean;30.5597125;26.521625
min_tmean;20.187829166666667;20.433810416666663
max_tmean;30.567512500000003;26.442264583333337
min_std;0.0890426876403798;0.05658631781525372
max_std;2.0008514476175723;1.5893834604825716
min_var;0.007928600222222245;0.0032020113638889006
max_var;4.003406515433334;2.5261397844555544
min_ppv;0.37480000000000047;0.245000000000001
max_ppv;7.127500000000001;7.002500000000001
min_cv;0.0037127661664611866;0.0025733622036949537
max_cv;0.08176090839752367;0.06987172934377607
min_iod;0.00033338455601019;0.00014684594951366525
max_iod;0.14805085637996276;0.11199014346257269
min_mad;0.0894007799999997;0.06301050000000064
max_mad;2.4494034600000036;1.9909835400000029
min_iqr;0.12137500000000045;0.08332500000000209
max_iqr;3.42765;2.669724999999996
min_idr;0.22973000000000354;0.1409199999999977
max_idr;5.20636;3.9247200000000007
min_ipr;0.2774150000000013;0.19129999999999825
max_ipr;5.577085;4.329374999999995
min_qcd;0.0025100700079464106;0.0018789797247207793
max_qcd;0.08071595501386598;0.059361750974038695
min_sv;-2.043458745386015;-2.744987626484774
max_sv;2.7034835072885266;2.7265555754559943
min_kv;-1.7166112553352868;-1.69197684230512
max_kv;6.550324446944186;8.866291017963466
min_minv;18.4267;18.7125
max_minv;29.3767;25.7875
min_maxv;20.565;21.2525
max_maxv;31.7525;28.3583
min_cf;1.0082075456988657;1.0057184550672364
max_cf;1.211699164697902;1.1384033311373776
min_svbq;-0.5804821974165856;-0.815980629539947
max_svbq;0.739213738291234;0.8479646359520163
min_kvbo;-0.8962772682639444;-0.9974451332399278
max_kvbo;5.227560116963165;1.2410228971208292
min_decile1;18.7148;19.81747
max_decile1;30.21153;26.00935
min_decile9;20.43528;20.877359999999996
max_decile9;31.10239;27.348830000000003
min_cvq;0.00502000903567162;0.0037579963125860105
max_cvq;0.15764482799554033;0.11852694457118036
