;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_amean;20.192611666666664;20.428229999999996
max_amean;30.50745;26.254158333333333
min_rms;20.193236796903893;20.434715968232428
max_rms;30.51158029419322;26.25476064506207
min_std;0.0890426876403798;0.05658631781525372
max_std;2.388816231069737;1.5893834604825716
min_ppv;0.37480000000000047;0.245000000000001
max_ppv;7.127500000000001;7.002500000000001
min_dstd;0.0745287124548527;0.05880812943234382
max_dstd;0.5346652850935539;0.6372932925774036
min_dppv;0.32250000000000156;0.24920000000000186
max_dppv;4.1325;5.576699999999995
