timestamp,x0,x1,x2,x3,is_anomaly
0,29.00,22.00,40.00,14.00,0
1,29.86,21.83,40.11,13.80,0
2,29.82,21.33,40.65,13.45,0
3,27.52,21.58,40.32,13.76,0
4,26.88,22.86,39.05,14.54,0
5,27.69,23.13,38.85,15.12,0
6,27.20,22.88,39.30,14.82,0
7,27.47,22.82,38.91,15.10,0
8,28.41,22.73,39.13,14.89,0
9,30.11,22.37,39.60,14.45,0
10,28.86,21.66,40.45,13.27,0
11,29.93,22.03,40.04,13.95,0
12,29.42,21.62,40.38,13.53,0
13,31.42,21.74,40.25,13.65,0
14,32.49,20.77,41.46,12.75,0
15,32.90,20.15,41.98,12.14,0
16,31.68,20.06,42.06,12.17,0
17,28.94,20.41,41.17,12.76,0
18,29.60,21.86,40.20,14.18,0
19,29.97,21.74,40.26,13.93,0
20,28.63,21.64,40.44,13.30,0
21,28.79,22.40,40.00,14.31,0
22,28.31,21.93,39.98,14.00,0
23,27.48,22.40,39.65,14.35,0
24,28.15,22.70,39.09,14.99,0
25,28.18,22.46,39.71,14.33,0
26,29.21,22.37,39.71,14.17,0
27,30.25,21.80,40.33,13.72,0
28,29.39,21.42,40.50,13.36,0
29,28.83,21.65,40.40,13.93,0
30,30.90,22.01,39.73,14.22,0
31,30.66,20.80,41.14,13.00,0
32,30.24,21.32,40.87,13.33,0
33,31.98,21.58,40.85,13.36,0
34,32.90,20.70,41.54,12.52,0
35,33.29,20.24,41.79,11.93,0
36,34.47,19.71,41.96,12.10,0
37,34.17,19.39,42.85,11.52,0
38,34.00,19.51,42.76,11.23,0
39,35.08,19.54,42.28,11.45,0
40,35.04,19.14,43.21,11.03,0
41,36.79,18.86,43.07,10.84,0
42,35.49,18.24,43.81,10.08,0
43,36.60,18.60,43.19,10.88,0
44,36.33,18.14,43.81,10.42,0
45,37.43,18.12,43.57,10.57,0
46,37.78,17.55,44.20,9.61,0
47,38.08,17.40,44.63,9.81,0
48,39.15,17.64,44.51,9.22,0
49,40.93,17.09,44.98,8.99,0
50,40.27,16.26,45.94,8.09,0
51,41.61,16.45,45.51,8.35,0
52,41.81,15.45,46.45,7.60,0
53,40.58,15.77,46.31,7.54,0
54,41.01,16.11,45.77,8.20,0
55,40.44,15.94,45.86,7.80,0
56,39.32,16.27,45.80,8.30,0
