start,finish,QB120A-CORRENTE-M1_avg,QB120A-CORRENTE-M2_avg,is_anomaly
2020-04-19T00:00:00Z,2020-04-19T00:01:00Z,24.2708,21.3508,0
2020-04-19T00:01:00Z,2020-04-19T00:02:00Z,24.3808,21.4092,0
2020-04-19T00:02:00Z,2020-04-19T00:03:00Z,24.115,21.4375,0
2020-04-19T00:03:00Z,2020-04-19T00:04:00Z,23.925,21.4783,0
2020-04-19T00:04:00Z,2020-04-19T00:05:00Z,24.295,21.4917,0
2020-04-19T00:05:00Z,2020-04-19T00:06:00Z,24.3775,21.4017,0
2020-04-19T00:06:00Z,2020-04-19T00:07:00Z,24.53,21.355,0
2020-04-19T00:07:00Z,2020-04-19T00:08:00Z,24.6308,21.4142,0
2020-04-19T00:08:00Z,2020-04-19T00:09:00Z,24.6883,21.3433,0
2020-04-19T00:09:00Z,2020-04-19T00:10:00Z,24.62,21.3767,0
2020-04-19T00:10:00Z,2020-04-19T00:11:00Z,24.3875,21.4375,0
2020-04-19T00:11:00Z,2020-04-19T00:12:00Z,24.57,21.3925,0
2020-04-19T00:12:00Z,2020-04-19T00:13:00Z,24.7775,21.24,0
2020-04-19T00:13:00Z,2020-04-19T00:14:00Z,24.48,21.3542,0
2020-04-19T00:14:00Z,2020-04-19T00:15:00Z,24.5167,21.4167,0
2020-04-19T00:15:00Z,2020-04-19T00:16:00Z,24.7642,21.3117,0
2020-04-19T00:16:00Z,2020-04-19T00:17:00Z,24.7117,21.23,0
2020-04-19T00:17:00Z,2020-04-19T00:18:00Z,24.6275,21.2808,0
2020-04-19T00:18:00Z,2020-04-19T00:19:00Z,24.5883,21.2908,0
2020-04-19T00:19:00Z,2020-04-19T00:20:00Z,24.595,21.2567,0
2020-04-19T00:20:00Z,2020-04-19T00:21:00Z,24.9108,21.2317,0
2020-04-19T00:21:00Z,2020-04-19T00:22:00Z,24.87,21.3692,0
2020-04-19T00:22:00Z,2020-04-19T00:23:00Z,24.9458,21.2325,0
2020-04-19T00:23:00Z,2020-04-19T00:24:00Z,25.0108,21.3492,0
2020-04-19T00:24:00Z,2020-04-19T00:25:00Z,24.935,21.2658,0
2020-04-19T00:25:00Z,2020-04-19T00:26:00Z,24.9375,21.3967,0
2020-04-19T00:26:00Z,2020-04-19T00:27:00Z,24.7642,21.4217,0
2020-04-19T00:27:00Z,2020-04-19T00:28:00Z,24.8792,21.2808,0
2020-04-19T00:28:00Z,2020-04-19T00:29:00Z,24.8217,21.3508,0
2020-04-19T00:29:00Z,2020-04-19T00:30:00Z,24.775,21.4375,0
2020-04-19T00:30:00Z,2020-04-19T00:31:00Z,24.7592,21.2925,0
2020-04-19T00:31:00Z,2020-04-19T00:32:00Z,25.0167,21.4808,0
2020-04-19T00:32:00Z,2020-04-19T00:33:00Z,24.9242,21.3867,0
2020-04-19T00:33:00Z,2020-04-19T00:34:00Z,24.7383,21.435,0
2020-04-19T00:34:00Z,2020-04-19T00:35:00Z,24.7933,21.3633,0
2020-04-19T00:35:00Z,2020-04-19T00:36:00Z,24.8808,21.3925,0
2020-04-19T00:36:00Z,2020-04-19T00:37:00Z,25.0292,21.41,0
2020-04-19T00:37:00Z,2020-04-19T00:38:00Z,25.0708,21.4583,0
2020-04-19T00:38:00Z,2020-04-19T00:39:00Z,25.0217,21.4467,0
2020-04-19T00:39:00Z,2020-04-19T00:40:00Z,25.1233,21.45,0
2020-04-19T00:40:00Z,2020-04-19T00:41:00Z,24.9842,21.5167,0
2020-04-19T00:41:00Z,2020-04-19T00:42:00Z,24.7458,21.655,0
2020-04-19T00:42:00Z,2020-04-19T00:43:00Z,24.7858,21.5858,0
2020-04-19T00:43:00Z,2020-04-19T00:44:00Z,24.7775,21.4933,0
2020-04-19T00:44:00Z,2020-04-19T00:45:00Z,24.8675,21.4717,0
2020-04-19T00:45:00Z,2020-04-19T00:46:00Z,24.9642,21.4625,0
2020-04-19T00:46:00Z,2020-04-19T00:47:00Z,25.0992,21.4225,0
2020-04-19T00:47:00Z,2020-04-19T00:48:00Z,24.9217,21.5467,0
2020-04-19T00:48:00Z,2020-04-19T00:49:00Z,24.8767,21.5133,0
2020-04-19T00:49:00Z,2020-04-19T00:50:00Z,24.9725,21.5217,0
2020-04-19T00:50:00Z,2020-04-19T00:51:00Z,24.85,21.4992,0
2020-04-19T00:51:00Z,2020-04-19T00:52:00Z,24.7558,21.4483,0
